Date,open,high,low,close,adj_close,volume
2002-07-01,25.4182,25.818199,24.818199,25.1273,6.023036,2047540.0
2002-07-02,25.4545,27.6364,25.236401,26.745399,6.410896,5546354.0
2002-07-03,26.727301,28.181801,26.6455,28.0909,6.733414,5745267.0
2002-07-04,28.181801,28.799999,27.0364,27.3909,6.565624000000001,3896602.0
2002-07-05,27.0909,27.8636,26.9454,27.672701,6.633172,3261038.0
2002-07-08,27.8818,27.8909,27.172701,27.245399,6.530746,2092668.0
2002-07-09,27.4,27.681801,26.927298999999998,27.0909,6.493713,1026801.0
2002-07-10,27.236401,27.272699,26.9091,26.9909,6.469743,1513611.0
2002-07-11,27.0818,27.0818,26.5455,26.790899,6.421803,1454750.0
2002-07-12,27.272699,27.4091,26.672701,26.790899,6.421803,475041.0
2002-07-15,26.8909,26.9091,26.181801,26.3727,6.321559,535634.0
2002-07-16,26.181801,26.3636,25.9,26.1455,6.2671,1400542.0
2002-07-17,26.181801,26.4909,26.0,26.327299,6.310677,1242742.0
2002-07-18,26.3818,26.5364,26.181801,26.3545,6.317197,1076009.0
2002-07-19,26.0,27.272699,25.4545,26.4636,6.343349,4412276.0
2002-07-22,26.181801,26.3636,25.6546,26.272699,6.297589,1842253.0
2002-07-23,26.3454,26.5091,26.1091,26.4,6.328104,2576926.0
2002-07-24,26.0182,26.227301,25.572701000000002,25.745399,6.171196,1909122.0
2002-07-25,26.3636,26.690901,25.218201,25.4091,6.0905830000000005,2055350.0
2002-07-26,24.9091,25.1364,24.6,24.9636,5.983798999999999,1349804.0
2002-07-29,25.181801,26.181801,24.5455,25.781799,6.179921,1999052.0
2002-07-30,26.5273,26.5273,24.5455,25.0818,6.012131,3601318.0
2002-07-31,24.818199,25.818199,24.4182,25.563601000000002,6.127619,1734975.0
2002-08-01,25.799999,26.5182,25.5909,26.318199,6.308496,2501174.0
2002-08-02,26.3636,26.3636,23.6546,25.572701000000002,6.1298010000000005,987239.0
2002-08-05,25.4545,25.6364,24.690901,24.927298999999998,5.975096,1550274.0
2002-08-06,24.9,25.0182,24.5364,24.790899,5.942401,1488141.0
2002-08-07,25.0909,25.3636,24.6455,24.8727,5.962008,1053602.0
2002-08-08,24.927298999999998,25.0,24.572701000000002,24.681801,5.91625,881502.0
2002-08-09,24.6364,24.727301,24.4818,24.663601,5.9118889999999995,1368873.0
2002-08-12,24.5455,24.8909,24.227301,24.427298999999998,5.855247,467517.0
2002-08-13,24.5455,24.727301,24.0,24.4182,5.853065,710748.0
2002-08-14,24.4727,24.727301,23.9182,24.0546,5.765911,573578.0
2002-08-16,24.0909,24.5273,24.0909,24.4,5.848701999999999,416422.0
2002-08-19,24.3727,24.818199,24.3727,24.709101,5.922795,297099.0
2002-08-20,25.0818,25.0909,24.5,24.5455,5.883579,533890.0
2002-08-21,24.5455,24.681801,24.5091,24.6,5.896643,326172.0
2002-08-22,24.5455,24.5455,24.0909,24.436398999999998,5.8574269999999995,1088593.0
2002-08-23,24.3636,25.6364,24.3636,25.336399,6.073158,1992430.0
2002-08-26,25.6182,26.0,25.190901,25.336399,6.073158,1476349.0
2002-08-27,25.5818,25.727301,25.0,25.4091,6.0905830000000005,2143086.0
2002-08-28,25.245501,25.9818,25.200001,25.318199,6.068795,1792769.0
2002-08-29,25.318199,25.4545,25.0273,25.254601,6.053548999999999,680449.0
2002-08-30,25.6364,26.263599,25.4545,26.1091,6.258376,2018242.0
2002-09-02,26.181801,26.4545,25.681801,25.8636,6.199529,559938.0
2002-09-03,25.6546,25.9091,25.318199,25.5273,6.118917,311476.0
2002-09-04,25.1273,25.436398999999998,25.072701000000002,25.3454,6.075316,225781.0
2002-09-05,25.6182,25.6364,25.181801,25.4818,6.108011,611853.0
2002-09-06,25.5,26.200001,25.272699,25.9818,6.227862,1450829.0
2002-09-09,26.072701000000002,26.0909,24.727301,25.700001,6.160315,1168800.0
2002-09-11,25.9727,26.436398999999998,25.9091,26.181801,6.275801,997805.0
2002-09-12,26.3818,26.5455,25.9182,26.181801,6.275801,1523280.0
2002-09-13,23.9091,26.4727,23.9091,26.0546,6.245312,699270.0
2002-09-16,26.163601,26.172701,25.6364,25.9545,6.221318,1936347.0
2002-09-17,25.745399,26.181801,25.736401,26.1364,6.26492,862224.0
2002-09-18,25.9818,26.3636,25.745399,26.245399,6.291046,792281.0
2002-09-19,26.181801,26.818199,26.0455,26.572701000000002,6.3695010000000005,1652959.0
2002-09-20,25.4545,26.1364,25.0,25.6091,6.138525,1619717.0
2002-09-23,25.4636,25.6182,25.0909,25.0909,6.01431,989038.0
2002-09-24,24.6364,25.4545,24.0182,25.236401,6.049188,1344084.0
2002-09-25,25.272699,25.272699,24.818199,24.9091,5.970733999999999,775429.0
2002-09-26,25.0,26.1455,24.0455,24.6091,5.898823,13899419.0
2002-09-27,24.5455,25.818199,24.5455,25.0909,6.01431,6507936.0
2002-09-30,25.0909,25.727301,24.8909,25.5091,6.114555,4397542.0
2002-10-01,25.318199,26.4727,25.1091,26.336399,6.3128589999999996,4019494.0
2002-10-03,26.272699,26.3636,25.6455,25.836399,6.193009,1520360.0
2002-10-04,25.818199,26.218201,25.4545,26.063601000000002,6.247469000000001,1157744.0
2002-10-07,26.181801,26.181801,25.681801,26.0364,6.240948,653697.0
2002-10-08,26.0,26.0,25.1091,25.181801,6.0361,947045.0
2002-10-09,25.436398999999998,25.5182,24.736401,24.8545,5.957647,1084430.0
2002-10-10,25.0,25.0,24.5455,24.563601000000002,5.887918,1559905.0
2002-10-11,25.0,25.3454,24.754601,25.072701000000002,6.00995,1045809.0
2002-10-14,25.200001,25.5455,24.9091,25.200001,6.040462000000001,772558.0
2002-10-16,25.5455,25.6364,24.781799,25.0364,6.001247,597047.0
2002-10-17,25.1273,25.272699,24.6182,24.8545,5.957647,849448.0
2002-10-18,24.9,24.9091,23.200001,23.5546,5.646058999999999,2893611.0
2002-10-21,24.0,24.0818,23.5182,23.818199,5.709244,1704857.0
2002-10-22,24.327299,24.327299,22.9091,23.1,5.537091,1989900.0
2002-10-23,23.3636,23.809099,23.1364,23.6364,5.665668,1178892.0
2002-10-24,23.818199,23.818199,22.309099,22.4636,5.384545,4033651.0
2002-10-25,22.727301,23.4545,22.4545,23.0,5.513122,2631502.0
2002-10-28,23.227301,24.163601,23.0909,23.9182,5.733214,2282071.0
2002-10-29,23.827299,24.818199,23.827299,24.5455,5.883579,3791090.0
2002-10-30,24.709101,24.709101,23.8454,24.072701000000002,5.7702480000000005,1469254.0
2002-10-31,24.3636,24.772699,24.3636,24.5273,5.879216,3392703.0
2002-11-01,24.5455,24.836399,23.4091,23.9,5.728852,3001944.0
2002-11-04,24.327299,24.327299,23.827299,23.9091,5.731033,302704.0
2002-11-05,23.727301,24.0818,23.6364,23.663601,5.672187,245669.0
2002-11-07,23.745399,23.745399,22.427298999999998,22.6364,5.425966000000001,5331200.0
2002-11-08,22.8727,22.8727,21.818199,21.9909,5.271239,2175250.0
2002-11-11,22.072701000000002,22.4545,21.6455,22.0,5.27342,3679363.0
2002-11-12,22.0182,22.181801,20.9636,21.290899,5.103448,4989457.0
2002-11-13,21.281799,21.4545,19.8909,20.1,4.817988,12575591.0
2002-11-14,20.272699,21.763599,20.218201,21.5364,5.162294,14070727.0
2002-11-15,21.818199,22.1455,21.709101,21.827299,5.232024,5213956.0
2002-11-18,21.818199,22.700001,21.818199,22.327299,5.351874,4537467.0
2002-11-20,22.181801,22.327299,21.663601,21.8909,5.247269,4295401.0
2002-11-21,22.0182,22.163601,21.709101,21.9454,5.260333,1248516.0
2002-11-22,22.727301,23.754601,22.6364,23.5182,5.637334,6090150.0
2002-11-25,23.6364,25.6546,23.6364,25.0364,6.001247,12502386.0
2002-11-26,25.0909,25.4,24.5546,24.818199,5.948945,4722470.0
2002-11-27,24.727301,25.3909,24.200001,24.5182,5.877035,2740876.0
2002-11-28,25.0,25.236401,24.0182,24.236401,5.809487,1870710.0
2002-11-29,24.5273,24.5909,24.0909,24.209101,5.802944,1766886.0
2002-12-02,24.0,24.4818,23.6364,24.327299,5.831275,2183874.0
2002-12-03,24.5273,24.6364,23.690901,23.836399,5.713607,2092068.0
2002-12-04,24.0,24.181801,23.727301,23.9818,5.7484589999999995,2566971.0
2002-12-05,23.727301,24.6273,23.727301,24.5273,5.879216,3355842.0
2002-12-06,24.6273,24.9727,24.3636,24.4909,5.870491,2194098.0
2002-12-09,24.709101,24.9091,24.263599,24.718201,5.924976,1747532.0
2002-12-10,24.3636,24.690901,24.209101,24.309099,5.826912999999999,570207.0
2002-12-11,24.6273,25.0182,24.181801,24.927298999999998,5.975096,2570139.0
2002-12-12,25.272699,26.245399,25.272699,25.772699,6.177739,6828162.0
2002-12-13,26.0,27.3545,25.9909,27.181801,6.515503,8575836.0
2002-12-16,27.6364,27.9,26.6546,26.772699,6.417441,6126621.0
2002-12-17,26.4818,27.0,25.827299,26.0364,6.240948,6566764.0
2002-12-18,26.4454,26.4727,25.6546,25.9182,6.212616000000001,9296744.0
2002-12-19,25.818199,25.8909,25.181801,25.5909,6.134161,3616828.0
2002-12-20,25.6364,25.818199,25.336399,25.436398999999998,6.097128,3730601.0
2002-12-23,25.818199,26.0364,25.563601000000002,25.8818,6.2038910000000005,5826948.0
2002-12-24,25.818199,26.836399,25.572701000000002,25.8636,6.199529,7527487.0
2002-12-26,25.9818,26.1546,25.4545,25.5273,6.118917,1602975.0
2002-12-27,25.6364,26.272699,25.6364,26.072701000000002,6.249649,2648536.0
2002-12-30,26.163601,26.163601,25.4545,26.0091,6.234405000000001,1238474.0
2002-12-31,25.727301,26.163601,25.4454,25.5455,6.123278,1614278.0
2003-01-01,25.718201,25.818199,25.4454,25.5273,6.118917,900301.0
2003-01-02,25.6364,25.781799,25.190901,25.263599,6.055708,1764714.0
2003-01-03,25.436398999999998,25.436398999999998,24.781799,24.8636,5.959828,1132725.0
2003-01-06,25.072701000000002,25.072701000000002,24.0909,24.218201,5.805124,2542210.0
2003-01-07,24.4909,24.6364,23.936398999999998,24.1182,5.781154,2473146.0
2003-01-08,24.3454,24.4636,23.9545,24.200001,5.800763,3183895.0
2003-01-09,24.245501,24.709101,24.227301,24.3636,5.839976999999999,6647889.0
2003-01-10,24.6364,25.5273,24.3818,25.245399,6.051347,6306779.0
2003-01-13,25.6273,26.0546,25.4727,25.736401,6.169039,4698744.0
2003-01-14,25.818199,25.8545,25.1273,25.5546,6.1254610000000005,3988171.0
2003-01-15,25.272699,25.9818,25.272699,25.836399,6.193009,2662077.0
